,Tweet Id,Tweet
174,1559781196028149761,we plan your holidays 
175,1559781192609812483,did you know tom cooper is joint fastest batter to score odi runs in innings 
176,1559781190109990912, great work i was witness to the entire episode exceptional bravery well deserved ma sha allah
177,1559781168605806592,milestone in hen harriers trial after record number of chicks released towild 
178,1559781166479458304, good morning captain 
179,1559781164130394112, good looking 
180,1559781164071755783,na speakers reply on mna resignations issue sought 
181,1559781161991380993, laanat on you
182,1559781159936081923, perception is big but on some occasions national day is bigger pakistan zindabad 
183,1559781155162955778, vry bad
184,1559781154219237376, may b
185,1559781149005828098, congratulations 
186,1559781144639557632, good morning
187,1559781144119451650, is this siri paaye no what you are seeing is a tremendous work and wonder of nature due exponential rains grasslands and greenery has formed over gadani balochistan just a few km nw of even clouds are hovering down to hills this is simply beautiful 
188,1559781140264779776, thanks zong
189,1559781131104489472,"cash counting machine
model no automatic detection with uv and mg while counting
contact us uan "
190,1559781127342247936,an elderly woman and her daughter in law were severely injured by their rivals over litigation at chak l 
191,1559781123374333952, will they give any relief to salaried class yes they cant pressurise govt they dont have unions and specially all traders businessman are ruling in na pa 
192,1559781120908136449, right
193,1559781107146653696,introduce yourself with the nickname your favourite person gave you 
194,1559781106181935104, congrats to all of u amp thank u for your services 
195,1559781104323907585,man rescued from tunnel allegedly planned bank heist romepolice 
196,1559781099072618496, you are generalizing behavior of few as collective behavior of everyone do you stare a woman passing by 
197,1559781093095636992,if they can do that inhumane torture to then remember we general public are not even tissue paper for them high time to leave this country for protecting our basic human rights 
198,1559781089291411459, congratulations
199,1559781089220206593, good morning
200,1559781085277560833, beauty with brain 
201,1559781084761571330, i vote for 
202,1559781082547060736,covid claims five lives in last hours details 
203,1559781072833060864, wow old legends are together 
204,1559781069200711681,just posted a photo new york u s a 
205,1559781067657207808,consult not your fears but your hopes and your dreams think not about your frustrations but about your unfulfilled potential concern yourself not with what you tried and failed in but with what it is still possible for you to do 
206,1559781065585496065, wrong there are type of muslims you are right about type the normal muslims following quran type is moderate muslims they are overwhelming majority of billion they are the ones who will support the type of normal muslims with silence 
207,1559781065090293760,treat people with your manners not their 
208,1559781064755023872, absolutely not
209,1559781062561103874, congratulations
210,1559781059499155456, good
211,1559781055799984128, capital was for all intents and purposes cut off from the remainder of the country as the citys principal rail route line and the thruway which were harmed because of downpour are yet to be fixed 
212,1559781042030010368,the lahore high court has declared that refusal by a family court to entertain a plea of a man who voluntarily wishes to return dowry items to his former wife is bad in law 
213,1559781037831585796,reply me fast
214,1559781037093396485,this makes so much sense yahan tou kaam sy lay k personal life tak these so called fans want to dictate k celebrity kya karay kya nai bhai niklo yahan sy and jeene do 
215,1559781034346090496,love marriage or arrange marriage 
216,1559781030797594625, i would like to introduce you to shia islam and it is concept of imamah we believe there has to be a divinely appointed infallible caliph leader imam at all times hidden or apparent
217,1559781017329737729, he is a wrong number why is pti getting backstabbed over and over again he needs to be removed asap 
218,1559781016650350594, indeed
219,1559781011298213888, you copycat
220,1559781009792589824, good morning
221,1559781009343873024, nhi esy kahen ky phone sy fursat hoti
222,1559781008509206528, be happy in life
223,1559781007309643776,good work 
224,1559780998916759554,ada hitted and 
225,1559780985234984960,trump backed challenger beats republican liz cheney in us midterm primary 
226,1559780982848475137, well said
227,1559780982005399557,kingggg 
228,1559780978649927680, love it 
229,1559780977798516739, correct
230,1559780972962398208,handsome hunk latest instagram reel do like share and drop some comments in love with his chains rings bracelet amp watchs looking so handsome 
231,1559780965140119553,prime ministers assistant malik ahmad khan has justified police action against the pakistan tehreek i insaf pti leaders and workers on may saying the state foiled the conspiracy to dislodge the constitutional government 
232,1559780962787098625,today we can appreciate how as dc islamabad used solve such issues by talking with all parties without bloodshed 
233,1559780961960730625,welcome to islamabad 
234,1559780961197309952, crosswinds 
235,1559780960832524289,life sucks but atleast i got nvm they left 
236,1559780958320074753, how can she take gopers away from anyone if she cant even get a gop ticket 
237,1559780955316944897, amazing project 
238,1559780950061551616, good morning
239,1559780942197231617, based on international media reports its already more of a us army base we are conducting drone strikes for them supplying romania ukrainian style ammo spare parts of tanks or something to help ukrainians fight this war against russia amp more consignments will come in future 
240,1559780941995950081, happay birthday to you celeb allah pak khush rakhy
241,1559780938170699777, babe sad news stay strong sweetheart 
242,1559780933183672320, send
243,1559780927651418114,heavy rain thundershower expected in most parts of country pmd 
244,1559780922572013570, morning 
245,1559780921833914370, so beautiful 
246,1559780914250784768," thanks
have a good day "
247,1559780910039539712,hello pioneers might end this august and the real game will begin gradually protect your passphrase and beware of scammers follow me amp let us make a family 
248,1559780907493588992, done 
249,1559780906998587393,morning beautiful peeps
250,1559780902619811842, stay blessed nd happy 
251,1559780902389137408, thandy burgers ne
252,1559780893882871808, it does not show any upward trend 
253,1559780893732093954, yessh he was asking for uh
254,1559780892083687425, krtq bat me aunty se k ise phone hours allow kia hua 
255,1559780891467173888, phir
256,1559780891337039877,faisalabad women police station on tuesday booked suspects for abduction torture extortion and sexual assault on the complaint of a final year dentistry student after the city police officer took notice of the aug incident 
257,1559780888661135360, probably he does not have a daughter 
258,1559780886501113856, congratulations
259,1559780884664008704, good morning
260,1559780883741253633, shukria 
261,1559780875608461312, congratulations 
262,1559780873330900994, truly deserved many congrats
263,1559780869853679616, oh cool which fictional role was zoe playing for that interview pedo kravitz 
264,1559780867593101312, if you are not intentionally against pti and their supporters then have a look 
265,1559780859774902273, good morning 
266,1559780839885377536,and what about the future of all those indians who are living here from generations india is not a guest house that anyone will come here illegely and stays here 
267,1559780837171798016, owff 
268,1559780826665160706, cutieee
269,1559780825813630976, stay blessed nd happy 
270,1559780825738186752,live minister for climate change senator addressing ceremony 
271,1559780824450482176, indeed 
272,1559780810588315651, mn available hon free me apko photos bna k de dia kron ga please appoint me as your photographer
273,1559780807719387137, what is the real purpose of life that is given by almighty allah 
274,1559780803718135808," second thought
noun c without a second thought
if you do something without a secondthought you do it without firstconsideringif you should do it or not she willspenda hundreddollarson adresswithout a secondthought"
275,1559780797992898564, asha 
276,1559780791311286272, good morning
277,1559780790879371265,use your bat clarke kent 
278,1559780777847828480,breakfast 
279,1559780777688178690, rottweilers are different
280,1559780773884039168, the voice of sarmad qadeer in this song
281,1559780773179318272, although is not good man but i do agree with you that his security amp safety must b ensure 
282,1559780770545373184, when i got the opportunity i did not give it a second thought 
283,1559780765508009984, he knows this but he has to spin 
284,1559780764618616832,any doubt 
285,1559780762446069760, offshore account aur mills se fursat ho to 
286,1559780754300755968,do you remember when you joined twitter i do 
287,1559780750697840640, we to pakistani hate you 
288,1559780748894289921,absolutely the biggest flaw in our education system is that it is expected from the academia to produce research papers in bulk this definitely affects quality of research paper and of teaching as well 
289,1559780747833065472,flood relief camps by livestock and dairy development department punjab across punjab 
290,1559780746700759041, this is our internal matter mind you own business 
291,1559780735581659137, yes only divine intervention 
292,1559780733933305857, she is right at one point it is parents which must decide what heroes they should have while they grow up not school or society every good parent has right to monitor what their children feed at 
293,1559780730661634051, good morning
294,1559780729147588609, same
295,1559780722390585344,shame on geo 
296,1559780720805117952, update forming a rising wedge pattern and it is about to break a rising wedge is a bearish pattern a break in a downward direction will send btc towards the support level we will see a break of this structure by this weekend 
297,1559780718863159296,i didnt want to see this fuckers face ever again in my life n yet i had to meet him he was on my interview panel and the fact that he recognised me and screamed my name with his evil laughter smd boy i know i can kill any interview im in so jox on you 
298,1559780708037664768,congrats champ i hope that silver is not last 
299,1559780705349115910, love marriage 
300,1559780705080692738,being content with your own company is extremely important 
301,1559780704917098497,family finds several bodies stuffed in cases at unit they won in storage wars style auction sparking serial killerfears 
302,1559780695504986113, if the divine appointment of the prophet s is established then the prophet s appoints his successor a series of appointments follow from there this is the shia view of khilafah imamah which is more logical and coherent
303,1559780687351275521, good morning
304,1559780685145071616, get well soon 
305,1559780681831563267, open challenge for all muslims name the pakhtun sahabi 
306,1559780673380040704,weather in islamabad 
307,1559780664475516930,iraqs firebrand shiite cleric moqtada sadr backtracked after earlier urging his supporters to join a massive rally read here 
308,1559780649032097792, its getting tougher by the day to avoid getting embarrassed in this setup 
309,1559780642430361602,my favorite person only in the world 
310,1559780638605066240,assalamo alaikum good wali morning friends happy wednesday khush rahain abad rahain 
311,1559780625749606400, good morning
312,1559780615871938562, you know whos the most amazing person in the world read the first word
313,1559780613464461317, morning 
314,1559780611753222144, stay blessed 
315,1559780606514548738, my favorite person only in the world 
316,1559780598453002240, why muslim world doing nothing just condolences and take dollars from israel supported us
317,1559780596628480002, congrats
318,1559780594007134209, deserves respect for taking the right decisions by following the set formula and protocol amp not compromising national interests over political gains although has her own political stature amp opinions she should not interfere in portfolio
319,1559780585605926912, have a good day
320,1559780580971188224,please 
321,1559780576613351424," hii
what is up"
322,1559780573471703040, these cats want apology 
323,1559780563434758146,just posted a photo new york u s a 
324,1559780549400711168,same here father robolex mother netflix 
325,1559780548075298816, he is tax payer uk good gives respect him 
326,1559780547416702976, not on air in dist bahawalnagar
327,1559780544690413568, done
328,1559780541586481152,today i came on conclusion that hmry govt officials ko khak b nhi pta 
329,1559780541150412800,it seems like mufti sb always know what kind of advice we need 
330,1559780534330482689, mery pas time nhi hota
331,1559780532287950848, great 
332,1559780531147005953, lol feeling bad for ya
333,1559780529758736384, nadeem sb you had great respect earlier but ab ap rco kay moharay sabit huyea hain
334,1559780526327844864,let is a poll will you come out to support dr shahbaz gill if he is delayed or denied justice share it with your friends to raise voice imported govt must take note 
335,1559780526051008513, beautiful
336,1559780523412754432,"cash counting machine
model no automatic detection with uv and mg while counting
contact us uan "
337,1559780521382744064, they arent
338,1559780518102810626, honestly
339,1559780515900702721, stay blessed 
340,1559780515275743232, dollor nhi oil rates km hoe he mgr mian sahib ne petrol ke prices increase krdye 
341,1559780514717990915, view beautiful 
342,1559780514223079426, oh please you may make billions more if you pull this off 
343,1559780512167772163, good morning 
344,1559780499111002112,indeed a bad news its may he be awarded with best of health amp golf fortune prayers amp thoughts with her 
345,1559780492551110656, joker
346,1559780491540283393, hello how are you
347,1559780480584744961, hahaha exactly bdw i must appreciate ur observation strength here 
348,1559780472066039809,order of union awarded to emile lahoud prince salman bin hamad al khalifa the prince philip prince willem alexander mr bill gates and sergey lavrov coas medals already awarded 
349,1559780470849667072,the world is headed toward disasters in every aspect
350,1559780451329495042, i wish
351,1559780446325673984,i can still see people arguing keh result bajay aay ga yeh bajay 
352,1559780439891791872, ok but what about you 
353,1559780438561923076, pls be fake news i can not afford to hate miftah yet 
354,1559780437928693761,i wish i could honey 
355,1559780436112510979,heal inspire and revive 
356,1559780430315937792, im almost done with uni gurl its all a lie 
357,1559780428118122500, noted sir 
358,1559780427614797826,being an ordinary pakistani i feel an air full of fear despair panic and gloom around me the decision makers consider my land their chessboard and play violent moves and do not bother our sentiments is there any door we should knock at to get relief 
359,1559780425496764416, thank you 
360,1559780424590786560, god bless you 
361,1559780420291543041,covid statistics august total tests in last hours positive cases positivity deaths patients on critical care 
362,1559780414348316675,maralee nichols shades tristan thompson again amid child supportbattle 
363,1559780412184043522,frankly it depends from person to person like for nargis and people like that the explanation of vulgarity is way different from the middle class in high classes specially media industry they perceives things normal which middle class takes as vulgar 
364,1559780399164915712, jazak allah sir hope it will be completed on urgent basis
365,1559780398498029569,this is everything we need to boost our skills confidence international clients are amazing they provide opportunity they wait for you to put your best they do not forget to give you a reward tip paid 
366,1559780398183358464, bs award py hi khush hty rehna
367,1559780394953854976, fuzool
368,1559780388578418688, that is so obvious mf 
369,1559780385130745856,okay pindi keep going 
370,1559780379866939392, good morning
371,1559780377677500416, please comment
372,1559780377316794368, welcome
373,1559780372732227584, over my dead body
374,1559780368554889217, wslam morning 
375,1559780366235344897, listen komal if life gives you a chance be a doctor or teacher not cricket journalist or expert 
376,1559780358400479232, same here
377,1559780357876097026, sab is one of the most impressive sports analysit in our cricket fraternity and sports shows 
378,1559780345905545216, some people still wonder why messi runs horizontally sometimes they have never seen assists like these actually 
379,1559780324229480449, morning
380,1559780318944583681," light up the pink
i bring the pain like
pink venom mv teaser "
381,1559780311764017153, eak dafa inka kera mar he lyna du but i am afraid it would not
382,1559780306202365952," w salaam
good morning sweetie "
383,1559780305485152256,mosam 
384,1559780303585034241, o get well soon brother 
385,1559780300741398532, bro she just threw you under the bus dm her to delete this imo 
386,1559780297910231045,the only viable solution to the present state of affaires is to call an all political parties inc pti roundtable conference by the president of pakistan the apc should have a clear agenda of conducting gen elections elec reforms in govt etc 
387,1559780292356874240, good morning 
388,1559780284731740164, dear customer complaint is noted and forwarded to concerned sdo 
389,1559780283418820608, dont agree
390,1559780281040736256, exactly right
391,1559780279916576768, as if he would listen to your advice 
392,1559780270315806723, good morning
393,1559780268059287553, morning
394,1559780267098722304,gen z and me 
395,1559780259272204295,i think is the most under rated journalist loved his style of journalism always 
396,1559780259205189632, same to u
397,1559780255728128004, fb plz 
398,1559780243082190849, exactly
399,1559780241421131778, may we never run out of good energy lt 
400,1559780236018974720,this is 
401,1559780236006461441, huge winning project
402,1559780234953719812, still same 
403,1559780230763520000, keep shining and rocking
404,1559780223780102151, one of the biggest and wonderful most beautiful mosque in the world allah pak masjid e nabwi ho hamasha abad rakhy ameeeen 
405,1559780223624806400,rejections make you istronger not weaker 
406,1559780223327125505,who is christi dembrowskis husband 
407,1559780221452263425, whites are hot
408,1559780221183721472,if you know you know
409,1559780217836736515, mafroor ishtihaari corrupt legally incompetent exactly wo kiu betha ijlaas m kis n osko pakistan k legal affairs m interfere hony ki perm did democratic state h lihaza hm awam n to ni di why 
410,1559780211071270913, a very interesting perspective however chancellor olaf is a democratically elected leader who belongs to the centre or centre left sdp pres macron is also a democratically elected leader belonging to a liberal political party 
411,1559780210689642497, keep shining and rocking
412,1559780210089906181,calm in life 
413,1559780203504832512, good morning
414,1559780200031846400, dear customer your complaint is noted and forwarded to concerned sdo 
415,1559780199453032451, i meant asal wala shadab khan bro 
416,1559780197313945601, kamisama kiss ahhhhhhhhh my favourite rom com anime 
417,1559780197033021440,here are the latest updates on cases in for more details amp 
418,1559780196714254337, i join daily to learn and earn tokens download and join me 
419,1559780196626178049,female student kidnapped sexually harassed in faisalabad 
420,1559780194537316352, english again 
421,1559780193597902848, keep shining and rocking
422,1559780191672713217, why thank god for guli
423,1559780191005806594, the holy quran amp the life of holy prophet pbuh has outlined basic principles of islamic political system amp the structure was left for the man is reason amp wisdom to decide upon with changing times amp circumstances 
424,1559780179483967489, why not mentioning businessman is name must be exposed
425,1559780175310721025, keep shining and rocking
426,1559780172865458178, english please 
427,1559780163444932614,just posted a photo 
428,1559780161712685056,investors from oman have expressed their keen interest in investment in pakistans railway infrastructure development amp power projects al anvwar asian investments expressed their interest in the construction of a kilometer long rail track from gwadar to jacobabad sindh
429,1559780160794140672, keep shining and rocking
430,1559780156671234048,replace india with south asia and it is fits 
431,1559780155274444801, glory to god
432,1559780152359485441, everyday is a sad day 
433,1559780141462700032, congratulations 
434,1559780137410895873, keep shining and rocking
435,1559780136236580864, love from pakistan
436,1559780133891891202," mubarak
many more to come in sha allah"
437,1559780131857743872, good morning
438,1559780127243964418, morning 
439,1559780124245082115,arshad sharif welcome youtube chanil 
440,1559780115072131072,good morning after throwing up breakfast
441,1559780110047318016, keep shining and rocking
442,1559780109090955264, thanks for correction i tagged wrong id 
443,1559780108516335616, kesy
444,1559780107765649409,"proposed to someone no
broke someones heart maybe stalked someone here no
went to a restaurant alone no
went for a movie alone no
made a prank call no
wrote a poem yes
ran in rain yes
got beatings from a teacher yes
had a crush on a teacher no "
445,1559780106880667648,attended competitive trading amp bilateral contracts market at headquarters islamabad on aug had an interactive post session discussion with the officials 
446,1559780105873940480, ghobi hy ye to
447,1559780101134360576, i have always participated in these competitions but never won anything would love if i could get this pc 
448,1559780098470993925, keep shining and rocking
449,1559780096222941184,on point i believe if we can not find any we need to become one first 
450,1559780096164216835, match main us ky wickets hai
451,1559780095438557190, i m good and you
452,1559780089939869697, happy independence
453,1559780089562284032, keep shining and rocking
454,1559780086433271808, she is a pedo because it is a horrible thing to day and she said it anyway if someome said or years i want to kill jews whether he is convicted or not he is an anti semite 
455,1559780086324215808, though i really am loosing hopes about the story and the fact that this will work still i will do it why leave a chance to rant lets pour our frustations out 
456,1559780083870703616,together work in all paletfom should the leadership 
457,1559780083166072832, after being pm of pakistan for three times this is what he had to face everytime those who choose money and power over nation building will be tried the same way as this woman is asking him to come out and answer the questions a great shame for ns 
458,1559780082163630080,some us states and mexico must cut their water usage to avoid a catastrophic collapse of the colorado river washington officials said as a historic drought bites read here 
459,1559780080901029889, good night 
460,1559780079009513473, you are right
461,1559780074307608576,torture to shahbaz gill is unacceptable international human rights organisations should play their part against this brutal torture with shahbaz gill in pakistan 
462,1559780073611345921, keep shining and rocking
463,1559780067273760769,karachi desperately needs lg elections ex ag tells sc 
464,1559780066791510016,pti leader hammad azhar said the federal governments debt under pml n rule has risen to rs trillion in just four months but no headlines in papers thats the power of advertising 
465,1559780066057396225, test case for pti government in punjab
466,1559780064253837314, always welcome murshed 
467,1559780059719892992,arrest him 
468,1559780052363010053,university of sialkot is proud to announce another addition to its postgraduate programs we have acquired the noc of phd english amp linguistics admissions open fall visit main campus or visit our website for more information 
469,1559780050391781376, done 
470,1559780048323870720, receive i receive apki din sy sim band hai we are not same dear 
471,1559780041399091200, good morning
472,1559780035753656321,mivida city balloting and possession ceremony august mivida sprin via 
473,1559780032133873666, done 
474,1559780030439456769,any doubts about which foreign forces brought imran khan in to destabilise pakistan and what a good job he has done for his masters 
475,1559780030355488770, shame on you 
476,1559780021111250951, keep shining and rocking
